MPC Date,tone_GT_entire,tone_GT,flair_fast_scores,flair_scores,blob_scores,bing_scores,gi_scores,mpqa_scores,nrc_scores,lm_scores,compound_scores,afinn_scores
20110512,13.924050632911392,13.924050632911392,-0.27906976744186046,-0.3953488372093023,0.05531128476043732,-0.20930232558139536,-0.2631578947368421,0.07086614173228346,0.23423423423423423,-0.3235294117647059,0.08,28.0
20110721,12.087912087912088,12.087912087912088,-0.24271844660194175,-0.5533980582524272,0.02882454058658879,-0.359375,-0.3103448275862069,-0.09202453987730061,0.2230769230769231,-0.5333333333333333,0.1,16.0
20110922,5.319148936170213,7.446808510638298,-0.14563106796116504,-0.5145631067961165,0.04173166015271276,-0.24615384615384617,-0.3069306930693069,-0.0055248618784530384,0.1524163568773234,-0.6923076923076923,0.04,-2.0
20111110,-5.882352941176471,-5.882352941176471,-0.30526315789473685,-0.47368421052631576,0.03156567245774296,-0.3394495412844037,-0.3333333333333333,-0.17142857142857143,0.18461538461538463,-0.6091954022988506,0.02,-6.0
20120119,3.5294117647058822,3.5294117647058822,-0.13402061855670103,-0.4639175257731959,0.031184547465285185,-0.2972972972972973,-0.17777777777777778,0.006622516556291391,0.17647058823529413,-0.5764705882352941,0.04,13.0
20120329,14.130434782608695,14.130434782608695,-0.2761904761904762,-0.3523809523809524,0.048026563383706235,-0.031746031746031744,-0.3018867924528302,0.018633540372670808,0.15789473684210525,-0.13580246913580246,0.08,69.0
20120524,-3.061224489795918,-3.061224489795918,-0.24528301886792453,-0.5094339622641509,0.03513596925673197,-0.3225806451612903,-0.4666666666666667,-0.18181818181818182,0.13409961685823754,-0.504950495049505,0.01,20.0
20120719,-19.35483870967742,-17.204301075268816,-0.42592592592592593,-0.4444444444444444,0.017983813025654032,-0.296875,-0.23255813953488372,-0.023809523809523808,0.1875,-0.6491228070175439,0.06,32.0
20120920,12.820512820512821,12.820512820512821,-0.328,-0.472,0.010297721602069425,-0.22972972972972974,-0.15384615384615385,-0.08808290155440414,0.25252525252525254,-0.4953271028037383,0.06,14.0
20121122,3.3333333333333335,1.6666666666666667,-0.22580645161290322,-0.43548387096774194,0.03966101491101491,-0.21951219512195122,-0.1791044776119403,-0.02586206896551724,0.12835820895522387,-0.5555555555555556,0.01,1.0
20130124,11.320754716981131,9.433962264150944,-0.168141592920354,-0.504424778761062,0.048104972026024644,-0.35251798561151076,-0.12280701754385964,0.046632124352331605,0.12056737588652482,-0.5643564356435643,0.07,14.0
